timestamp,rx,ry,rz,vx,vy,vz,label
10652.000000000002,-0.37381232505111356,-0.3856181994630702,-0.5432658666481848,0,0,0,0
10711,0.04545498316444742,0.07108038646815945,-0.6373501271315003,7.106225562975829,7.74065399883464,-1.594648482768109,0
10774,0.011816828632328292,-0.07119316413097866,-0.7261665119933945,-0.5339389608272878,-2.258310326970446,-1.409783886696734,0
10828,-0.005979064204961343,-0.08011324971810921,-0.7259663034469982,-0.32955357106091915,-0.16518677013204716,0.0037075656740065206,0
10879,0.07303260361473429,-0.06775125314510835,-0.7259659282990132,1.5492483886214832,0.24239208966668346,0.00000735584284333408,0
10932,0.06982162588076508,-0.08145119615079503,-0.7134598154955132,-0.060584485546588844,-0.2584894906733336,0.23596439251886797,0
10995.000000000002,0.1022200524606995,-0.08787202498172428,-0.7509184858787193,0.5142607393640235,-0.10191791795125492,-0.5945820695746838,0
11065,0.13398176212004265,-0.10891937524026334,-0.7545629295597822,0.4537387094191997,-0.3006764322648515,-0.05206348115804236,0
11116,0.17652930461686783,-0.13625478668597288,-0.7594833596109389,0.834265539153435,-0.535988459719795,-0.09647902061091611,0
11164,0.2184856646847102,-0.15784552320779793,-0.7513739605164406,0.874090834746716,-0.4498070108713553,0.16894581446871607,0
11210,0.24729006869039102,-0.1693957692630068,-0.7458858295936108,0.6261826957756701,-0.25109230554801915,0.11930719397455951,0
11260,0.24489431275067508,-0.18207477248654397,-0.7551204478843079,-0.04791511879431887,-0.2535800644707431,-0.184692365813941,0
11314,0.2245835075256721,-0.17129920663066575,-0.763810350013912,-0.3761260226852403,0.1995475158495966,-0.1609241135111866,0
11368,0.21955459552180315,-0.13579856103277976,-0.7685045857846834,-0.09312800007164736,0.6574193629238146,-0.08693029205132292,0
11429,0.21552106443217336,-0.1079669400525543,-0.791881518817862,-0.06612346048573414,0.4562560816430403,-0.3832284103799764,0
11487,0.2051087624100967,-0.0782389740867141,-0.809644606228951,-0.1795224486564941,0.5125511373420726,-0.30626012777739664,0
11519,0.20598182189422223,-0.07113711583916744,-0.8180975335645908,0.027283108878922713,0.2219330702358329,-0.26415397923874523,0
11552,0.20444933189993328,-0.07914541107246952,-0.8272643619104226,-0.04643909073602893,-0.24267561313036576,-0.27778267714641885,0
11585,0.20075424707347622,-0.08278007127609283,-0.8339717889447755,-0.11197226746839566,-0.11014121829161547,-0.20325536467736052,0
11619,0.1928678217588176,-0.08924952732535402,-0.8363306742887224,-0.23195368572525396,-0.19027811909591735,-0.06937898070432069,0
11654,0.1801201014789654,-0.09346618837174761,-0.840676152235487,-0.36422057942434816,-0.12047602989695981,-0.12415651276470119,0
11686,0.15692702584280874,-0.10367097607662124,-0.8405191315209936,-0.7247836136298957,-0.31889961577730075,0.0049068973279192685,0
11719,0.1368148724334167,-0.12004676845772369,-0.8391835508310078,-0.6094591942240012,-0.49623613276068046,0.04047214212077994,0
11752,0.11889620806677281,-0.14175819430605976,-0.8407017495897925,-0.5429898292922388,-0.6579219954041234,-0.04600602299347492,0
11787,0.10673495826597787,-0.1700186338012199,-0.8390673658482176,-0.3474642800227126,-0.8074411284331466,0.046696678330710686,0
11827,0.08972509816113103,-0.18776331883593686,-0.8415295990357349,-0.42524650262117103,-0.443617125867924,-0.061555829687931496,0
11869,0.07927103176305009,-0.19170508615499965,-0.8409928380861895,-0.24890634281145096,-0.0938516028348283,0.012780022608222768,0
11901,0.07263396371638478,-0.1871524289190127,-0.8499464632619493,-0.20740837645829083,0.14227053862459188,-0.27980078674249426,0
11922,0.07045922390323897,-0.18378433874916225,-0.858787417535622,-0.10355903872122901,0.1603852461833551,-0.42099782255584317,0
11952,0.06244416353224542,-0.1862544486348204,-0.8578636632094194,-0.2671686790331184,-0.08233699618860521,0.030791810873420644,0
11986,0.06367498447291496,-0.1799901750758361,-0.8591574878368418,0.036200615902045374,0.18424333997012698,-0.038053665512421626,0
12019,0.05307277501037792,-0.18762436129752483,-0.8543718240212327,-0.32127907462233446,-0.23133897641481024,0.14502011562451744,0
12055,0.044899479527249944,-0.19238520057491984,-0.8466760867452076,-0.22703598564244387,-0.13224553548319481,0.2137704798895869,0
12094,0.046807541838206554,-0.19088090893425338,-0.8502806957129309,0.04892467463991307,0.03857158052990911,-0.0924258709672641,0
12135,0.04218245541873339,-0.20954802727832228,-0.8491305543055844,-0.1128069858408089,-0.455295569367534,0.0280522294474752,0
12180,0.050371399273287286,-0.22159487464530367,-0.8539095413907759,0.18197653010119771,-0.2677077192662531,-0.10619971300425629,0
12234,0.05691903480117135,-0.1396354382621672,-0.8445008715800562,0.12125250977563085,1.517767340428453,0.17423462612443982,0
12276,0.08972695838210196,0.2163263812532158,-0.8230718630941716,0.7811410376412048,8.475281417032928,0.5102144877591567,0
12304,0.1126378539307168,0.5164400639943493,-0.7871241353645867,0.8182462695933874,10.718345812183339,1.2838474189137457,0
12338.000000000002,0.1355253195112634,0.7155059535147942,-0.7825252306000592,0.6731607523689814,5.854879103542184,0.13526190483903722,0
12361,0.15176147951992883,0.8023747945927734,-0.7799133604086559,0.7059200003768136,3.7769061338254817,0.11355957353928281,0
12386.000000000002,0.1632276636572052,0.8405474636107702,-0.7763519878331282,0.45864736549102164,1.5269067607197595,0.14245490302109715,0
12419,0.17763145968152932,0.8692061809503819,-0.770276833056812,0.4364786674037853,0.8684459799882837,0.1840955992823177,0
12453,0.1863019567463538,0.8863029964140063,-0.7718058060231998,0.2550146195536611,0.5028475136360119,-0.04496979312905191,0
12486,0.19177449500700755,0.8871907829351107,-0.7749301951358987,0.16583449274708326,0.026902621851646297,-0.09467845796057137,0
12519,0.19743795014603394,0.8889531056633246,-0.7846951390914759,0.17161985269776925,0.05340371903678703,-0.2959073925932501,1
12579,0.2016321119099811,0.8515815571361429,-0.7867532910290487,0.06990269606578596,-0.6228591421196954,-0.03430253229287916,0
12628,0.20485262667266804,0.7807463418027354,-0.803371952742348,0.06572479107524386,-1.4456166394572965,-0.33915636149590384,0
12659,0.1922257517419574,0.6644731542107002,-0.8039784349010571,-0.4073185461519558,-3.750747986839845,-0.019563940603521814,0
12695,0.17869965798309997,0.45426729240051594,-0.8031012734178254,-0.37572482663492884,-5.839051716949563,0.024365596756435893,0
12720,0.15941217623675255,0.2380850948184559,-0.8025244061084422,-0.7714992698538969,-8.6472879032824,0.023074692375328887,0
12753,0.13737564471356273,-0.0035178463204402484,-0.8094067182375406,-0.6677736825209037,-7.321301246633217,-0.20855491300298182,0
12786,0.13111447354783512,-0.19107009232650765,-0.8177207197846617,-0.18973245956750326,-5.683401394123254,-0.2519394408218494,0
12819,0.12969365592340185,-0.31729088930617777,-0.8292233667806685,-0.04305507952828102,-3.824872635747579,-0.34856506048505737,0
12853,0.13091388908890286,-0.40360278456589704,-0.8309394146578246,0.035889210750029904,-2.5385851546976257,-0.050471996386943184,0
12886.000000000002,0.13352842966970266,-0.45383938363692405,-0.8219632239563261,0.07922850244847429,-1.5223211839704316,0.2720057788332718,0
12925,0.13457884632874575,-0.5083738326040137,-0.8160703009297743,0.026933760488285777,-1.398319204284415,0.15110059042441387,0
12959,0.1366688893818997,-0.5324224854221623,-0.8103952725205409,0.06147185450452762,-0.7073133181808413,0.16691260027157045,0
13020,0.136088574050567,-0.5385009671260081,-0.8042567255407256,-0.009513366087421007,-0.09964724104665311,0.10063191770189028,0
13054,0.13559529271136,-0.540198860233775,-0.8001469984539992,-0.014508274682559054,-0.04993803258137651,0.12087432608018855,0
13086,0.13144278445136054,-0.5351200610792931,-0.798136213336089,-0.1297658831249833,0.15871247357755747,0.06283703493469364,0
13120.000000000002,0.1256925141210136,-0.5218982935037094,-0.7983144072795,-0.16912559795137172,0.38887551692891115,-0.005240998335617635,0
13153,0.1041113223039748,-0.47822040851470937,-0.8010377112218193,-0.6539755096072722,1.3235722723940138,-0.08252436188846951,0
13186,0.11501444125640482,-0.05941765291929641,-0.7912369690182732,0.3303975440130311,12.690992593800392,0.2969921879862454,0
13220,0.12891324369489268,0.42852821123044316,-0.7619424466088034,0.40878830701434876,14.351348945580574,0.8616036002785246,0
13253,0.1376489248405896,0.7088226924973424,-0.7537443195521654,0.2647176104756643,8.493772159603008,0.24842809262539475,0
13286,0.14675013955805855,0.8315194249330002,-0.7561896948260555,0.27579438537784673,3.7180828010805396,-0.07410228102697286,0
13322.000000000002,0.15383845318470726,0.8916078424710767,-0.7507408815355642,0.1968976007402322,1.6691227093909289,0.15135592473586162,0
13360,0.15926142816549876,0.9180176964316793,-0.7443669722587187,0.14270986791557264,0.6949961568579959,0.16773445465383557,0
13407,0.1647202149583694,0.9397236669352306,-0.7405236176338323,0.11614439984831114,0.46182915965002713,0.08177350265715715,0
13449,0.17091896933224635,0.9603879266571658,-0.7485083695472976,0.14758938985421327,0.4920061838555999,-0.1901131407967919,1
13504,0.17313991648423607,0.9924974634341371,-0.7476789202702165,0.04038085730890413,0.5838097595812977,0.015080895946928408,0
13534,0.17587770986601378,0.9210782862905683,-0.7625837588150259,0.0912597793925903,-2.380639238118961,-0.49682795149364656,0
